unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1634428800000,2021-10-17,BTC/USD,60867.0,61150.0,60651.0,61048.0,2278649.13919448,37.32553301
1634342400000,2021-10-16,BTC/USD,61686.0,62333.0,60171.0,60868.0,260688993.3424512,4282.8578784
1634256000000,2021-10-15,BTC/USD,57352.0,62900.0,56881.0,61680.0,733022378.0818872,11884.27980029
1634169600000,2021-10-14,BTC/USD,57369.0,58488.0,56855.0,57354.0,263516961.68556398,4594.56989374
1634083200000,2021-10-13,BTC/USD,56000.0,57775.0,54300.0,57368.0,175415053.20789263,3057.71602998
1633996800000,2021-10-12,BTC/USD,57470.0,57661.0,53837.51997218,56009.0,332640175.4665103,5939.04864337
1633910400000,2021-10-11,BTC/USD,54679.0,57821.0,54430.0,57489.0,432248022.11751914,7518.79528462
1633824000000,2021-10-10,BTC/USD,54978.0,56450.0,54114.0,54691.0,319261461.0590996,5837.55025615
1633737600000,2021-10-09,BTC/USD,53947.0,55475.0,53678.0,54968.0,134229574.51743078,2441.95849435
1633651200000,2021-10-08,BTC/USD,53797.0,56000.0,53628.0,53947.0,295796270.8415449,5483.09027085
1633564800000,2021-10-07,BTC/USD,55335.0,55349.0,53429.0,53797.03310738,266043091.32439452,4945.31158983
1633478400000,2021-10-06,BTC/USD,51497.0,55743.0,50438.0,55335.0,582244349.9650859,10522.17131951
1633392000000,2021-10-05,BTC/USD,49252.0,51922.0,49065.0,51508.0,344160670.1475096,6681.6935262
1633305600000,2021-10-04,BTC/USD,48241.0,49503.0,46897.0,49252.0,304859583.7058834,6189.79094668
1633219200000,2021-10-03,BTC/USD,47649.0,49196.0,47120.0,48242.0,173862948.96856022,3603.97473091
1633132800000,2021-10-02,BTC/USD,48157.0,48350.0,47438.0,47649.0,98363985.21767308,2064.34521643
1633046400000,2021-10-01,BTC/USD,43829.0,48464.0,43311.0,48151.0,400652918.75460696,8320.76008296
1632960000000,2021-09-30,BTC/USD,41539.0,44122.0,41432.0,43830.0,222564882.3998526,5077.91198722
1632873600000,2021-09-29,BTC/USD,41046.0,42606.0,40804.0,41530.0,182270090.3298969,4388.87768673
1632787200000,2021-09-28,BTC/USD,42181.0,42777.0,40928.0,41064.0,253092960.70557168,6163.37815862
1632700800000,2021-09-27,BTC/USD,43188.0,44355.99143738,42135.0,42181.0,179876054.8643516,4264.38573918
1632614400000,2021-09-26,BTC/USD,42714.0,43963.0,40800.0,43190.0,238642990.229707,5525.4223253
1632528000000,2021-09-25,BTC/USD,42861.0,42986.84667145,41728.0,42714.0,126452916.22569479,2960.4559682
1632441600000,2021-09-24,BTC/USD,44893.0,45164.4867643,40755.0,42856.0,504097238.3439273,11762.58256356
1632355200000,2021-09-23,BTC/USD,43575.0,45000.0,43102.0,44884.68321336,237288079.80306953,5286.6158969
1632268800000,2021-09-22,BTC/USD,40748.0,44000.0,40601.0,43574.0,367495242.015669,8433.81929627
1632182400000,2021-09-21,BTC/USD,43025.0,43625.0,39678.0,40747.95941373,609586672.098684,14959.93126697
1632096000000,2021-09-20,BTC/USD,47244.0,47327.0,42567.0,43025.0,543257469.6790538,12626.55362415
1632009600000,2021-09-19,BTC/USD,48319.0,48370.29414611,46837.0,47239.0,107581202.19179122,2277.38102398
1631923200000,2021-09-18,BTC/USD,47296.15646179,48819.0,47066.0,48308.0,98879736.25672428,2046.86048391
1631836800000,2021-09-17,BTC/USD,47782.0,48183.0,46771.0,47296.0,117868683.36820737,2492.14909016
1631750400000,2021-09-16,BTC/USD,48137.76809977,48530.0,47061.0,47782.0,172346432.9068031,3606.93216916
1631664000000,2021-09-15,BTC/USD,47134.0,48444.0,46724.0,48137.0,191820976.5477283,3984.89678517
1631577600000,2021-09-14,BTC/USD,44958.0,47238.51708787,44699.0,47152.0,166084443.68111232,3522.32023416
1631491200000,2021-09-13,BTC/USD,46039.0,46874.0,43444.0,44960.0,394127372.79368,8766.1782205
1631404800000,2021-09-12,BTC/USD,45169.7693418,46466.0,44774.17967564,46038.87431928,155980878.77438468,3388.02546936
1631318400000,2021-09-11,BTC/USD,44851.0,45990.0,44750.0,45169.0,114952072.21918806,2544.93285703
1631232000000,2021-09-10,BTC/USD,46396.0,47044.0,44155.0,44852.0,232367904.21068886,5180.77018217
1631145600000,2021-09-09,BTC/USD,46054.0,47398.57959466,45546.0,46389.0,178757819.7867504,3853.4527536
1631059200000,2021-09-08,BTC/USD,46854.0,47351.0,44472.0,46070.61738592,347971546.9647106,7553.00377353
1630972800000,2021-09-07,BTC/USD,52672.0,52888.0,43220.0,46849.0,781733698.0267155,16686.2408595
1630886400000,2021-09-06,BTC/USD,51779.0,52742.0,51050.0,52676.0,255117128.97256666,4843.13784214
1630800000000,2021-09-05,BTC/USD,49899.0,51900.0,49470.0,51780.0,286815309.5043198,5539.11374091
1630713600000,2021-09-04,BTC/USD,50001.0,50544.0,49401.0,49899.0,118198035.9808443,2368.7455857
1630627200000,2021-09-03,BTC/USD,49273.73784718,51142.0,48332.0,50001.0,366715956.29694253,7334.17244249
1630540800000,2021-09-02,BTC/USD,48827.0,50365.0,48631.0,49274.0,244011192.285203,4952.12875523
1630454400000,2021-09-01,BTC/USD,47142.0,49139.0,46590.0,48823.0,278649676.29298705,5707.34441335
1630368000000,2021-08-31,BTC/USD,47003.4670629,48244.0,46725.0,47157.0,202821841.81986904,4300.99119579
1630281600000,2021-08-30,BTC/USD,48801.0,48924.66460268,46903.0,47004.84288151,193813518.60752988,4123.2670237
1630195200000,2021-08-29,BTC/USD,48913.9769579,49650.0,47760.0,48800.0,197435776.84584,4045.8150993
1630108800000,2021-08-28,BTC/USD,49079.0,49310.0,48385.91723403,48914.0,112540504.19094725,2300.78309259
1630022400000,2021-08-27,BTC/USD,46836.0,49159.0,46363.0,49079.0,284448146.1037387,5795.72008606
1629936000000,2021-08-26,BTC/USD,48992.29076835,49385.0,46310.0,46840.0,303469286.2353784,6478.84898026
1629849600000,2021-08-25,BTC/USD,47696.45550645,49255.0,47142.96628448,48992.74927858,201795944.00424984,4118.89406036
1629763200000,2021-08-24,BTC/USD,49523.0,49860.0,47555.0,47698.0,227641172.0092451,4772.55172144
1629676800000,2021-08-23,BTC/USD,49267.0,50558.0,49055.0,49525.0,268511659.83852875,5421.73972415
1629590400000,2021-08-22,BTC/USD,48835.0,49488.0,48075.0,49266.0,135297937.86804163,2746.27406057
1629504000000,2021-08-21,BTC/USD,49333.0,49788.0,48219.0,48837.0,191537934.94826904,3921.98404792
1629417600000,2021-08-20,BTC/USD,46766.0,49400.0,46647.0,49330.49713104,298208219.29027855,6045.10873868
1629331200000,2021-08-19,BTC/USD,44721.0,47061.0,43992.0,46765.0,278977880.75709313,5965.52722671
1629244800000,2021-08-18,BTC/USD,44692.0,46010.0,44266.0,44721.0,260162624.43073502,5817.45990543
1629158400000,2021-08-17,BTC/USD,45932.90307576,47167.0,44441.0,44695.0,309880481.1072176,6933.22477027
1629072000000,2021-08-16,BTC/USD,47023.0,48069.0,45689.0,45937.0,278391287.49902344,6060.28446566
1628985600000,2021-08-15,BTC/USD,47084.0,47369.0,45471.0,47022.0,180157588.2397869,3831.34677895
1628899200000,2021-08-14,BTC/USD,47836.0,48141.0,45935.0,47084.0,204903733.81402653,4351.87608984
1628812800000,2021-08-13,BTC/USD,44413.0,47967.0,44266.0,47835.0,353429140.0464108,7388.50507048
1628726400000,2021-08-12,BTC/USD,45530.0,46186.0,43786.0,44424.0,250766177.10398927,5644.83560922
1628640000000,2021-08-11,BTC/USD,45611.0,46727.0,45341.0,45531.0,197088310.1958588,4328.6620148
1628553600000,2021-08-10,BTC/USD,46280.02549592,46695.0,44635.0,45612.0,290337761.1682523,6365.38106569
1628467200000,2021-08-09,BTC/USD,43782.46903142,46438.0,42790.0,46282.21851123,496271288.9514018,10722.72040786
1628380800000,2021-08-08,BTC/USD,44569.0,45250.0,43300.0,43793.0,357602985.3672017,8165.75675033
1628294400000,2021-08-07,BTC/USD,42853.0,44698.0,42380.0,44568.0,415465585.6190789,9322.06034866
1628208000000,2021-08-06,BTC/USD,40890.0,43385.0,39900.0,42854.0,276878906.27148527,6460.98161832
1628121600000,2021-08-05,BTC/USD,39738.0,41352.0,37318.0,40887.0,263105882.29888576,6434.95199694
1628035200000,2021-08-04,BTC/USD,38219.0,39965.0,37519.81411605,39743.0,145967524.13418484,3672.78575181
1627948800000,2021-08-03,BTC/USD,39154.0,39781.0,37663.0,38217.0,194045026.23901856,5077.45312921
1627862400000,2021-08-02,BTC/USD,39873.0,40449.0,38716.0,39149.45625755,180828843.70306876,4618.93627624
1627776000000,2021-08-01,BTC/USD,41440.0,42532.0,39493.0,39867.0,363392230.46821934,9115.11351414
1627689600000,2021-07-31,BTC/USD,42196.27398595,42398.0,41051.0,41439.0,210873319.65242535,5088.76468188
1627603200000,2021-07-30,BTC/USD,40040.0,42299.15230804,38343.0,42214.50801313,327886854.3523743,7767.16038596
1627516800000,2021-07-29,BTC/USD,40017.0,40623.0,39272.0,40036.0612375,162919501.152546,4069.31891192
1627430400000,2021-07-28,BTC/USD,39490.0,40900.0,38803.0,40017.0,319315594.99079376,7979.49858787
1627344000000,2021-07-27,BTC/USD,37265.93349564,39589.0,36418.0,39500.0,239592252.01100498,6065.62663319
1627257600000,2021-07-26,BTC/USD,35413.0,40595.0,35233.0,37270.0,608023978.4936262,16314.03215706
1627171200000,2021-07-25,BTC/USD,34288.0,35444.0,33886.0,35415.0,98488951.89444675,2780.99539445
1627084800000,2021-07-24,BTC/USD,33650.0,34527.0,33422.0,34279.0,81010061.94876294,2363.25627786
1626998400000,2021-07-23,BTC/USD,32320.26010235,33650.0,32020.0,33650.0,133568321.654477,3969.34091098
1626912000000,2021-07-22,BTC/USD,32154.0,32610.0,31735.0,32320.0,169119412.40246722,5232.65508671
1626825600000,2021-07-21,BTC/USD,29814.0,32850.0,29523.0,32154.0,265532998.1933739,8258.16378035
1626739200000,2021-07-20,BTC/USD,30866.0,31079.0,29313.0,29809.0,264644728.3578289,8878.01430299
1626652800000,2021-07-19,BTC/USD,31820.47850988,31928.0,30500.0,30865.0,395063565.38410074,12799.72672555
1626566400000,2021-07-18,BTC/USD,31559.0,32453.0,31111.0,31820.0,394928275.40621704,12411.32229435
1626480000000,2021-07-17,BTC/USD,31427.0,32000.0,31210.0,31560.0,432613275.57511204,13707.6449802
